pretraitement,classifieur,n_split,accuracy,precision,recall,fmesure,matrice
FTFTT,SVM,5,0.6487570621468925,0.7012853953085314,0.6487570621468925,0.630805196861869,"[[13.2 16.4]
 [ 4.4 25.2]]"
FTTFF,SVM,5,0.6487570621468927,0.714775738509447,0.6487570621468927,0.6286529414290317,"[[12.6 17. ]
 [ 3.8 25.8]]"
FTTFT,SVM,5,0.6387570621468927,0.6695348883284424,0.6387570621468927,0.6302884220755628,"[[14.8 14.8]
 [ 6.6 23. ]]"
FTTTF,SVM,5,0.6385310734463276,0.6866749134309245,0.6385310734463276,0.6156126290592978,"[[11.6 18. ]
 [ 3.4 26.2]]"
FTTTT,SVM,5,0.6857627118644067,0.7203014548045211,0.6857627118644067,0.6761406185210154,"[[15.2 14.4]
 [ 4.2 25.4]]"
TFFFF,SVM,5,0.6261111111111111,0.6648829208616441,0.6261111111111111,0.6094990018628151,"[[18.2 22.2]
 [ 8.  32.4]]"
TFFFT,SVM,5,0.6606481481481481,0.6842076625264248,0.6606481481481481,0.6546957872013424,"[[21.2 19.2]
 [ 8.2 32.2]]"
TFFTF,SVM,5,0.623858024691358,0.6572164783593382,0.623858024691358,0.6082158703171046,"[[17.8 22.6]
 [ 7.8 32.6]]"
TFFTT,SVM,5,0.6384567901234568,0.661168975864257,0.6384567901234568,0.6318313242397006,"[[20.8 19.6]
 [ 9.6 30.8]]"
TFTFF,SVM,5,0.6088888888888889,0.651883198863591,0.6088888888888889,0.5916388447086461,"[[17.4 23. ]
 [ 8.6 31.8]]"
TFTFT,SVM,5,0.6385802469135802,0.68062742523597,0.6385802469135802,0.6271305401494469,"[[20.  20.4]
 [ 8.8 31.6]]"
TFTTF,SVM,5,0.670895061728395,0.7245831131415571,0.670895061728395,0.6558987625519558,"[[20.4 20. ]
 [ 6.6 33.8]]"
TFTTT,SVM,5,0.6510185185185186,0.6685873245256031,0.6510185185185186,0.6452150973680075,"[[21.2 19.2]
 [ 9.  31.4]]"
TTFFF,SVM,5,0.6485802469135802,0.6731253583679037,0.6485802469135802,0.6417692852745247,"[[21.2 19.2]
 [ 9.2 31.2]]"
TTFFT,SVM,5,0.6583641975308643,0.6757589974731201,0.6583641975308643,0.6557439533422711,"[[23.2 17.2]
 [10.4 30. ]]"
TTFTF,SVM,5,0.6858333333333333,0.7408907542765893,0.6858333333333333,0.6709541927067443,"[[19.4 21. ]
 [ 4.4 36. ]]"
TTFTT,SVM,5,0.6458641975308641,0.6809830444497865,0.6458641975308641,0.6331606690221138,"[[19.  21.4]
 [ 7.2 33.2]]"
TTTFF,SVM,5,0.6362345679012344,0.6826049339013407,0.6362345679012344,0.6215612183689601,"[[19.  21.4]
 [ 8.  32.4]]"
TTTFT,SVM,5,0.6583333333333333,0.6737269434076765,0.6583333333333333,0.6533715231997159,"[[21.6 18.8]
 [ 8.8 31.6]]"
TTTTF,SVM,5,0.6608641975308641,0.7040302364171125,0.6608641975308641,0.6502612271110302,"[[20.6 19.8]
 [ 7.6 32.8]]"
TTTTT,SVM,5,0.6411111111111111,0.6698529090267752,0.6411111111111111,0.6337497172662176,"[[21.  19.4]
 [ 9.6 30.8]]"
FFFFF,RFO,5,0.6151977401129944,0.6274720127156612,0.6151977401129944,0.6141441673195895,"[[18.6 11. ]
 [11.8 17.8]]"
FFFFT,RFO,5,0.6251977401129943,0.6328722068200962,0.6251977401129943,0.6257313113351524,"[[17.8 11.8]
 [10.4 19.2]]"
FFFTF,RFO,5,0.5913559322033899,0.5981008867069393,0.5913559322033899,0.5895637650084206,"[[17.2 12.4]
 [11.8 17.8]]"
FFFTT,RFO,5,0.5946892655367232,0.6000909488328902,0.5946892655367232,0.5937741101868738,"[[17.  12.6]
 [11.4 18.2]]"
FFTFF,RFO,5,0.6520338983050847,0.657968343021019,0.6520338983050847,0.6518507505414604,"[[19.  10.6]
 [10.  19.6]]"
FFTFT,RFO,5,0.6045762711864406,0.6113226198827739,0.6045762711864406,0.6034786508636741,"[[16.6 13. ]
 [10.4 19.2]]"
FFTTF,RFO,5,0.676045197740113,0.6968120313388576,0.676045197740113,0.6727269284988172,"[[22.   7.6]
 [11.6 18. ]]"
FFTTT,RFO,5,0.621638418079096,0.6384098582552614,0.621638418079096,0.6165863577362101,"[[21.4  8.2]
 [14.2 15.4]]"
FTFFF,RFO,5,0.6217514124293786,0.6261228333175535,0.6217514124293786,0.6207940058205497,"[[17.6 12. ]
 [10.4 19.2]]"
FTFFT,RFO,5,0.6387570621468927,0.6434843033200907,0.6387570621468927,0.639262968201211,"[[18.6 11. ]
 [10.4 19.2]]"
FTFTF,RFO,5,0.6015819209039548,0.613805202029801,0.6015819209039548,0.6006376363296672,"[[19.2 10.4]
 [13.2 16.4]]"
FTFTT,RFO,5,0.6356497175141242,0.6504510192945876,0.6356497175141242,0.6340739041381891,"[[16.8 12.8]
 [ 8.8 20.8]]"
FTTFF,RFO,5,0.5845762711864407,0.5936191125583294,0.5845762711864407,0.583410919091122,"[[18.6 11. ]
 [13.6 16. ]]"
FTTFT,RFO,5,0.6255367231638418,0.6400874000018059,0.6255367231638418,0.6244566757972929,"[[18.6 11. ]
 [11.2 18.4]]"
FTTTF,RFO,5,0.5811864406779661,0.5982458009243216,0.5811864406779661,0.5646670675640475,"[[22.8  6.8]
 [18.  11.6]]"
FTTTT,RFO,5,0.581412429378531,0.5906038020958406,0.581412429378531,0.5804410325458594,"[[17.2 12.4]
 [12.4 17.2]]"
TFFFF,RFO,5,0.6187037037037036,0.6335596276653187,0.6187037037037036,0.6166329190100841,"[[26.  14.4]
 [16.4 24. ]]"
TFFFT,RFO,5,0.6064814814814815,0.6264970662581655,0.6064814814814815,0.6030884087486592,"[[23.6 16.8]
 [15.  25.4]]"
TFFTF,RFO,5,0.6385185185185185,0.6442870544090056,0.6385185185185185,0.639233624275829,"[[26.2 14.2]
 [15.  25.4]]"
TFFTT,RFO,5,0.6038888888888889,0.6142946640215872,0.6038888888888889,0.6028678797032364,"[[22.8 17.6]
 [14.4 26. ]]"
TFTFF,RFO,5,0.6187037037037036,0.6279655518903312,0.6187037037037036,0.6191687591170771,"[[25.6 14.8]
 [16.  24.4]]"
TFTFT,RFO,5,0.6211419753086419,0.6355068529083094,0.6211419753086419,0.6193815221090851,"[[25.2 15.2]
 [15.4 25. ]]"
TFTTF,RFO,5,0.5864506172839506,0.5966389166899422,0.5864506172839506,0.5831039429299452,"[[27.2 13.2]
 [20.2 20.2]]"
TFTTT,RFO,5,0.6114506172839507,0.6228562163245932,0.6114506172839507,0.6094065990149581,"[[27.6 12.8]
 [18.6 21.8]]"
TTFFF,RFO,5,0.6386728395061728,0.6602581640484564,0.6386728395061728,0.6344225804139532,"[[24.8 15.6]
 [13.6 26.8]]"
TTFFT,RFO,5,0.633641975308642,0.650267588989129,0.633641975308642,0.6321521458449563,"[[25.  15.4]
 [14.2 26.2]]"
TTFTF,RFO,5,0.6040432098765433,0.6287227795890717,0.6040432098765433,0.5990239987659669,"[[23.6 16.8]
 [15.2 25.2]]"
TTFTT,RFO,5,0.633425925925926,0.6481386999040966,0.633425925925926,0.6310923392317382,"[[28.6 11.8]
 [17.8 22.6]]"
TTTFF,RFO,5,0.5841975308641976,0.596256467458711,0.5841975308641976,0.5826905465122832,"[[20.8 19.6]
 [14.  26.4]]"
