pretraitement,classification,classifieur,kfold,size,testsize,seed,accuracy,matrice,recall,precision,fmesure
TFTTT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6287267366869358,"[[31.33333333 36.        ]
 [14.         53.33333333]]",0.6287267366869358,0.6581479765848965,0.6163690241684348
TTFFF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6039800995024875,"[[29.33333333 38.        ]
 [15.33333333 52.        ]]",0.6039800995024875,0.6634742580010632,0.5804405798812471
TTFFT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6312880044223328,"[[33.         34.33333333]
 [15.33333333 52.        ]]",0.6312880044223328,0.6464847718479415,0.6236065417245836
TTFTF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6509489589091579,"[[30.         37.33333333]
 [ 9.66666667 57.66666667]]",0.6509489589091579,0.6934362468438159,0.6329084743741437
TTFTT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6435784042749217,"[[32.         35.33333333]
 [12.66666667 54.66666667]]",0.6435784042749217,0.6770971200398991,0.6310999768096507
TTTFF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6014556845402617,"[[32.33333333 35.        ]
 [18.66666667 48.66666667]]",0.6014556845402617,0.6132188172597034,0.5919285197572767
TTTFT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6410539893126957,"[[33.66666667 33.66666667]
 [14.66666667 52.66666667]]",0.6410539893126957,0.6582156863951145,0.6327661890969803
TTTTF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.598968122351207,"[[25.66666667 41.66666667]
 [12.33333333 55.        ]]",0.598968122351207,0.646675530992026,0.5734413143931039
TTTTT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6633314906946747,"[[35.33333333 32.        ]
 [13.33333333 54.        ]]",0.6633314906946747,0.6800715204375735,0.6563501461849733
FFFFF,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5912870198584484,"[[30.         19.33333333]
 [21.         28.33333333]]",0.5912870198584484,0.5990367324537625,0.5899599865678541
FFFFT,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5710162853019995,"[[28.         21.33333333]
 [21.         28.33333333]]",0.5710162853019995,0.5772742203114484,0.5710465196179482
FFFTF,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6149591149591149,"[[29.33333333 20.        ]
 [18.         31.33333333]]",0.6149591149591149,0.6146339799449277,0.6142557616375993
FFFTT,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6284271284271284,"[[28.66666667 20.66666667]
 [16.         33.33333333]]",0.6284271284271284,0.6336181537270131,0.627309185748409
FFTFF,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5846217274788704,"[[29.         20.33333333]
 [20.66666667 28.66666667]]",0.5846217274788704,0.5976509852431273,0.5817013544073195
FFTFT,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.631931560502989,"[[30.66666667 18.66666667]
 [17.66666667 31.66666667]]",0.631931560502989,0.6384616165276,0.6317867785918424
FFTTF,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6454682883254311,"[[31.         18.33333333]
 [16.66666667 32.66666667]]",0.6454682883254311,0.6471640765302357,0.6456639914603457
FFTTT,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6790696076410363,"[[34.33333333 15.        ]
 [16.66666667 32.66666667]]",0.6790696076410363,0.6873654324826303,0.6787487539127395
FTFFF,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5710162853019995,"[[31.         18.33333333]
 [24.         25.33333333]]",0.5710162853019995,0.5855928577582036,0.5649180525877572
FTFFT,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5609496323782038,"[[29.66666667 19.66666667]
 [23.66666667 25.66666667]]",0.5609496323782038,0.5680783500259244,0.5586628858775011
FTFTF,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6115233972376829,"[[30.         19.33333333]
 [19.         30.33333333]]",0.6115233972376829,0.6112667790522471,0.6102863344812568
FTFTT,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5675118532261388,"[[28.         21.33333333]
 [21.33333333 28.        ]]",0.5675118532261388,0.5766317114200712,0.5662692336767072
FTTFF,Vrai_Faux_Other_Mixture,RFO,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5846217274788703,"[[29.66666667 19.66666667]
 [21.33333333 28.        ]]",0.5846217274788703,0.6157037428124054,0.5760759059306072
